Type,,sound,Folder,file1,file2,file3,,,
Team-up,,select item,tap,tap,,,,,
Team-up,,milestone reached,success,celebration,,,,,
Team-up,,get reward ,success,win game,,,,,
Team-up,,message sent to parent,messages,Message,,,,,
Team-up,,open assignment,success,Game Win,,,,,
Team-up,,accept parent invitation,success,winning,,,,,
Team-up,,start assignment,success,Game Win,,,,,
Team-up,,assignment completed ,success,completed,,,,,
Team-up,,Get assignment reward ,success,win game,,,,,
,,,,,,,,,
,,,,,,,,,
Pethology,,select category,tap,tap,,,,,
Pethology,,select item,tap,tap,,,,,
Pethology,,unlock item,success,fanfare,,,,,
Pethology,,drag item,whoosh,Whooshmove,,,,,
Pethology,,drop item,clip,ContainerDrop,,,,,
Pethology,,delete item,deny,delete,,,,,
Pethology,,refund,coins,refund,,,,,
Pethology,,increase size,transitions,expand,,,,,
Pethology,,shrink size,transitions,shrink,,,,,
Pethology,,rotate,whoosh,turn,,,,,
,,,,,,,,,
,,,,,,,,,
game_number bond,,select,pickup,Plop,Plop Pack 3,button1,,,
game_number bond,,drag,whoosh,Whooshmove,Cartoonwhoosh,LongWhoosh,Whoosh Single,,
game_number bond,,drop,clip,Item Gets Dropped,SuctionPlop_BW,Plop Pop Cartoon Hit 2,Cartoon Rough Plop,Fast Arp Plucks Down,
game_number bond,,right answer,success,Happy Win Game,Happy Win Game,Positive Game Win,Game Success Win,,
game_number bond,,wrong answer,fail,Fun Cartoon Fail,Cartoon Fail Up,Cute Cartoon Fail,Fun Little Retro Fail,Funtime Cartoon Failure 1,Pleasing Game Fail
,,,,,,,,,
Number_Line,,slide,whoosh,Cartoonwhoosh,,,,,
Number_Line,,triangle jump,other,Jump,,,,,
,,,,,,,,,
Timeline,,slide,whoosh,Cartoonwhoosh,,,,,
Timeline,,triangle jump,other,Jump,,,,,
Timeline,,,,,,,,,
Timeline,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
game_Vertical Operations,,select,pickup,Plop,Plop Pack 3,button1,,,
game_Vertical Operations,,drag,whoosh,Whooshmove,Cartoonwhoosh,LongWhoosh,Whoosh Single,,
game_Vertical Operations,,drop,clip,Item Gets Dropped,SuctionPlop_BW,Plop Pop Cartoon Hit 2,Cartoon Rough Plop,Fast Arp Plucks Down,
game_Vertical Operations,,change carry over,whoosh,turn,,,,,
,,,,,,,,,
game_Operation builder,,select,pickup,Plop,Plop Pack 3,button1,,,
game_Operation builder,,drag,whoosh,Whooshmove,Cartoonwhoosh,LongWhoosh,Whoosh Single,,
game_Operation builder,,drop,clip,Item Gets Dropped,SuctionPlop_BW,Plop Pop Cartoon Hit 2,Cartoon Rough Plop,Fast Arp Plucks Down,
,,,,,,,,,
game_Graphic Fraction,,select  cell,tap,bubble,water,deepbutton,,,
game_Graphic Fraction,,move slider,whoosh,Cartoonwhoosh,,,,,
game_Graphic Fraction,,select,pickup,Plop,Plop Pack 3,button1,,,
game_Graphic Fraction,,drag,whoosh,Whooshmove,Cartoonwhoosh,LongWhoosh,Whoosh Single,,
game_Graphic Fraction,,drop,clip,Item Gets Dropped,SuctionPlop_BW,Plop Pop Cartoon Hit 2,Cartoon Rough Plop,Fast Arp Plucks Down,
game_Graphic Fraction,,select fraction,whoosh,turn,,,,,
,,,,,,,,,
game_equations,,select,tap,tap,,,,,
game_equations,,add,other,add,,,,,
game_equations,,subtract,other,minus,,,,,
game_equations,,multiply,other,ExpandElement,,,,,
game_equations,,divide,other,Cartoonbubblelaunch,,,,,
game_equations,,move sides,whoosh,turn,,,,,
game_equations,,wrong move,,Deny Fat Low,,,,,
game_equations,,MCQ right,,okding,,,,,
game_equations,,MCQ wrong,,Deny Fat Low,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
game_2-3Groups,,select,pickup,Plop,Plop Pack 3,button1,,,
game_2-3Groups,,drag,whoosh,Whooshmove,Cartoonwhoosh,LongWhoosh,Whoosh Single,,
game_2-3Groups,,drop,clip,Item Gets Dropped,SuctionPlop_BW,Plop Pop Cartoon Hit 2,Cartoon Rough Plop,Fast Arp Plucks Down,
game_2-3Groups,,switch cards,whoosh,turn,,,,,
game_2-3Groups,,card returned to bottom,whoosh,turn,,,,,
game_2-3Groups,,completed group,success,okding,lightok,,,,
,,,,,,,,,
game_balance,,select,pickup,Plop,Plop Pack 3,button1,,,
game_balance,,drag,whoosh,Whooshmove,Cartoonwhoosh,LongWhoosh,Whoosh Single,,
game_balance,,drop,clip,Item Gets Dropped,SuctionPlop_BW,Plop Pop Cartoon Hit 2,Cartoon Rough Plop,Fast Arp Plucks Down,
game_balance,,slide,move slider,whoosh,Cartoonwhoosh,,,,
game_balance,,release balance,other,spring1,spring2,spring3,,,
game_balance,,balance moves,Cartoonwhoosh,,,,,,
game_balance,,balance hit,other,Hit,,,,,
game_balance,,right answer,,,,,,,
game_balance,,wrong answer,deny,denyding,,,,,
game_balance,,water added,other,WaterBubbles,,,,,
game_balance,,block added,other,blockdrop1,blockdrop2,,,,
game_balance,,block removed,other,suction,,,,,
game_balance,,wheel selector,other,Scroll,,,,,
,,,,,,,,,
game_angles,,main needle reaches next grade,other,Tick2,,,,,
game_angles,,secondary needle reaches next grade,other,Tick,,,,,
game_angles,,pink buttons,other,fastscroll,,,,,
game_angles,,yellow buttons,other,fastscroll2,,,,,
game_angles,,angle digit increased,tap,c,,,,,
game_angles,,angle digit decreased ,tap,water,,,,,
game_angles,,launcher turns,whoosh,Whoosh Single,,,,,
game_angles,,target launched,other,Cartoonbubblelaunch,,,,,
game_angles,,target hit,other,Cartoonhit,,,,,
game_angles,,target missed,other,CartoonDisappears,,,,,
game_angles,,number wheel ,other,Scroll,,,,,
,,,,,,,,,
game_Time,,increase hours,,,,,,,
game_Time,,decrease hours,,,,,,,
game_Time,,increase minutes,,,,,,,
game_Time,,decrease minutes,,,,,,,
game_Time,,am/pm switch,,,,,,,
,,,,,,,,,
game_battery,,increase number,tap,bubble,,,,,
game_battery,,decrease number,tap,water,,,,,
game_battery,,move battery slider ,whoosh,Whooshmove,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Place_value,,increase digit,tap,bubble,,,,,
Place_value,,decrease digit,tap,water,,,,,
Place_value,,select,pickup,Plop,Plop Pack 3,,,,
Place_value,,drag,whoosh,Whooshmove,Cartoonwhoosh,,,,
Place_value,,drop,clip,Item Gets Dropped,SuctionPlop_BW,,,,
,,,,,,,,,
Comparison,,select,pickup,Plop,Plop Pack 3,,,,
Comparison,,drag,whoosh,Whooshmove,Cartoonwhoosh,,,,
Comparison,,drop,clip,Item Gets Dropped,SuctionPlop_BW,,,,
Comparison,,select sign,tap,deepbutton,,,,,
,,,,,,,,,
Proportions,,select,pickup,Plop,Plop Pack 3,,,,
Proportions,,drag,whoosh,Whooshmove,Cartoonwhoosh,,,,
Proportions,,drop,clip,Item Gets Dropped,SuctionPlop_BW,,,,
Proportions,,select number,bubble,,,,,,
,,,,,,,,,
Circular_fractions,,increase number,tap,bubble,,,,,
Circular_fractions,,decrease number,tap,water,,,,,
Circular_fractions,,move slider,whoosh,Whooshmove,,,,,
,,,,,,,,,
,,,,,,,,,
Ordering,,select,pickup,Plop,Plop Pack 3,,,,
Ordering,,drag,whoosh,Whooshmove,Cartoonwhoosh,,,,
Ordering,,drop,clip,Item Gets Dropped,SuctionPlop_BW,,,,
,,,,,,,,,
Measurements,,increase number,tap,bubble,,,,,
Measurements,,decrease number,tap,water,,,,,
Measurements,,select,pickup,Plop,Plop Pack 3,,,,
Measurements,,drag,whoosh,Whooshmove,Cartoonwhoosh,,,,
Measurements,,drop,clip,Item Gets Dropped,SuctionPlop_BW,,,,
Measurements,,first part right,success,Game Success Win,,,,,
Measurements,,first part wrong,fail,Fun Cartoon Fail,,,,,
,,,,,,,,,
,,,,,,,,,
Prime_decomposition,,select,pickup,Plop,Plop Pack 3,,,,
Prime_decomposition,,drag,whoosh,Whooshmove,Cartoonwhoosh,,,,
Prime_decomposition,,drop,clip,Item Gets Dropped,SuctionPlop_BW,,,,
Prime_decomposition,,select,tap,tap,,,,,
Prime_decomposition,,cancel same numbers,other,CartoonBubblesDrain,,,,,
Prime_decomposition,,multiply denominator x fraction,other,ExpandElement,,,,,
Prime_decomposition,,add numerator/fraction,other,CartoonAdd,,,,,
,,,,,,,,,
,,,,,,,,,
Geometry,,select X / Y cells,tap,deepbutton,,,,,
Geometry,,select coordinate,tap,bubble,,,,,
Geometry,,wrong answer,deny,denyding,,,,,
Geometry,,drag perimeter / area line,whoosh,Whooshmove,,,,,
Geometry,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Confetti screen,,success,success,bonuswin,Success Joy,Positive Game Win,Happy Win Game,win game,
,,,,,,,,,
bonus screen,,enter bonus,success,fanfare,winning,celebration,,,
bonus screen,,Choose a difficulty,success,Game Success Win,,,,,
bonus screen,,Choose a a bonus,success,Game Win,,,,,
bonus screen,,Next level / play again,success,okding,OK Button,,,,
bonus screen,,background,,,,,,,
